Local time,Open,High,Low,Close,Volume
09.09.2019 00:00:00.000 GMT+0900,106.914,106.914,106.914,106.914,0
09.09.2019 01:00:00.000 GMT+0900,106.914,106.914,106.914,106.914,0
09.09.2019 02:00:00.000 GMT+0900,106.914,106.914,106.914,106.914,0
09.09.2019 03:00:00.000 GMT+0900,106.914,106.914,106.914,106.914,0
09.09.2019 04:00:00.000 GMT+0900,106.914,106.914,106.914,106.914,0
09.09.2019 05:00:00.000 GMT+0900,106.914,106.914,106.914,106.914,0
09.09.2019 06:00:00.000 GMT+0900,106.820,106.837,106.811,106.837,166.42
09.09.2019 07:00:00.000 GMT+0900,106.835,106.936,106.835,106.896,7418.1201
09.09.2019 08:00:00.000 GMT+0900,106.893,106.971,106.892,106.943,3891.23
09.09.2019 09:00:00.000 GMT+0900,106.943,107.023,106.901,106.948,8699.3701
09.09.2019 10:00:00.000 GMT+0900,106.947,106.974,106.761,106.851,8995.2803
09.09.2019 11:00:00.000 GMT+0900,106.849,106.934,106.831,106.906,5241.4702
09.09.2019 12:00:00.000 GMT+0900,106.906,106.913,106.870,106.872,2242.76
09.09.2019 13:00:00.000 GMT+0900,106.873,106.913,106.873,106.900,2754.1699
09.09.2019 14:00:00.000 GMT+0900,106.899,106.900,106.833,106.872,4248.4102
09.09.2019 15:00:00.000 GMT+0900,106.873,106.935,106.856,106.922,6065.3999
09.09.2019 16:00:00.000 GMT+0900,106.923,106.992,106.911,106.963,9956.79
09.09.2019 17:00:00.000 GMT+0900,106.963,106.994,106.926,106.977,6833.71
09.09.2019 18:00:00.000 GMT+0900,106.977,107.076,106.964,107.046,6625.6201
09.09.2019 19:00:00.000 GMT+0900,107.045,107.058,106.973,106.978,5405.7402
09.09.2019 20:00:00.000 GMT+0900,106.978,107.024,106.922,106.963,5637.7202
09.09.2019 21:00:00.000 GMT+0900,106.964,107.014,106.931,107.005,9856.2002
09.09.2019 22:00:00.000 GMT+0900,107.003,107.067,106.977,106.996,11071.4004
09.09.2019 23:00:00.000 GMT+0900,106.996,107.172,106.993,107.158,11334.6104
10.09.2019 00:00:00.000 GMT+0900,107.160,107.180,107.075,107.146,8600.2305
10.09.2019 01:00:00.000 GMT+0900,107.146,107.146,106.921,107.052,8717.5996
10.09.2019 02:00:00.000 GMT+0900,107.052,107.100,107.034,107.077,5628.21
10.09.2019 03:00:00.000 GMT+0900,107.072,107.172,107.070,107.153,5770.27
10.09.2019 04:00:00.000 GMT+0900,107.155,107.213,107.155,107.196,5121.8501
10.09.2019 05:00:00.000 GMT+0900,107.196,107.274,107.166,107.234,5429.1499
10.09.2019 06:00:00.000 GMT+0900,107.231,107.262,107.203,107.245,2765.3101
10.09.2019 07:00:00.000 GMT+0900,107.245,107.248,107.181,107.209,3000.97
10.09.2019 08:00:00.000 GMT+0900,107.209,107.367,107.205,107.343,5390.8501
10.09.2019 09:00:00.000 GMT+0900,107.342,107.442,107.290,107.440,11260.1797
10.09.2019 10:00:00.000 GMT+0900,107.438,107.498,107.381,107.426,10022.5703
10.09.2019 11:00:00.000 GMT+0900,107.435,107.437,107.361,107.379,6518.1099
10.09.2019 12:00:00.000 GMT+0900,107.379,107.437,107.377,107.421,3178.1399
10.09.2019 13:00:00.000 GMT+0900,107.422,107.426,107.392,107.408,2571.1101
10.09.2019 14:00:00.000 GMT+0900,107.409,107.415,107.362,107.372,5238.4399
10.09.2019 15:00:00.000 GMT+0900,107.372,107.381,107.307,107.361,7038.8398
10.09.2019 16:00:00.000 GMT+0900,107.361,107.393,107.236,107.318,10526.0898
10.09.2019 17:00:00.000 GMT+0900,107.319,107.337,107.251,107.297,8713.1299
10.09.2019 18:00:00.000 GMT+0900,107.298,107.357,107.272,107.312,5778.6699
10.09.2019 19:00:00.000 GMT+0900,107.312,107.386,107.299,107.377,5682.3999
10.09.2019 20:00:00.000 GMT+0900,107.377,107.487,107.323,107.365,8156.9302
10.09.2019 21:00:00.000 GMT+0900,107.367,107.378,107.253,107.278,9348.3203
10.09.2019 22:00:00.000 GMT+0900,107.279,107.369,107.190,107.240,13015.5098
10.09.2019 23:00:00.000 GMT+0900,107.237,107.341,107.198,107.281,16249.2803
11.09.2019 00:00:00.000 GMT+0900,107.280,107.430,107.250,107.349,14631.0303
11.09.2019 01:00:00.000 GMT+0900,107.349,107.466,107.293,107.454,10236.2998
11.09.2019 02:00:00.000 GMT+0900,107.455,107.462,107.391,107.396,9200.3496
11.09.2019 03:00:00.000 GMT+0900,107.396,107.512,107.369,107.428,9272.1504
11.09.2019 04:00:00.000 GMT+0900,107.428,107.528,107.428,107.528,7531.0698
11.09.2019 05:00:00.000 GMT+0900,107.527,107.586,107.498,107.542,4361.1299
11.09.2019 06:00:00.000 GMT+0900,107.525,107.553,107.495,107.512,7418.2998
11.09.2019 07:00:00.000 GMT+0900,107.513,107.546,107.499,107.512,2427.3799
11.09.2019 08:00:00.000 GMT+0900,107.513,107.626,107.500,107.601,3799.3899
11.09.2019 09:00:00.000 GMT+0900,107.599,107.651,107.545,107.632,7507
11.09.2019 10:00:00.000 GMT+0900,107.631,107.631,107.562,107.618,7356.9102
11.09.2019 11:00:00.000 GMT+0900,107.618,107.694,107.604,107.684,4712.7202
11.09.2019 12:00:00.000 GMT+0900,107.683,107.738,107.674,107.727,3623.04
11.09.2019 13:00:00.000 GMT+0900,107.724,107.783,107.707,107.761,5891.5298
